Name,Age,Club,Nationality,Position,Appearances,Assist,Distance / 90 minutes,Goals,Conceded,Interception,Key Passes,Pass Attempt / 90 minutes,Pass Completed / 90 minutes,Shots on Target,Shots,Tackle Attempt,Tackle Won,Shutouts,Performance
Steven Bergwijn,22,West Ham,NED,Midfielder,28,4,8.2,6,0,67,42,36.96,27.16,9,29,95,45,0,Normal
Stole Dimitrievski,26,Granada,MKD,Goalkeeper,28,0,1.5,0,44,0,0,13.64,5.36,0,0,8,6,4,Bad
José Ignacio,20,Deportivo,ESP,Striker,21,0,5.0,5,0,13,3,20.91,13.58,17,37,21,6,0,Bad
Xavier Díaz,19,Espanyol,ESP,Midfielder,7,1,5.9,0,0,5,1,23.12,15.17,3,5,7,3,0,Bad
Martin Ødegaard,21,Tottenham,NOR,Midfielder,24,6,8.4,5,0,46,98,60.62,44.26,16,24,54,37,0,Good
Raman Chibsah,26,Villarreal,GHA,Midfielder,27,1,5.4,0,0,69,5,30.52,24.02,3,16,108,68,0,Normal
Ramón Blázquez,23,Albacete,ESP,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Fabian Johnson,32,Middlesbrough,USA,Defender,8,2,8.2,0,0,45,17,37.25,26.75,4,10,47,30,0,Normal
Alphonse Areola,27,Stoke,FRA,Goalkeeper,33,0,2.8,0,31,3,1,25.39,8.94,0,0,0,0,16,Good
José León,25,Málaga,ESP,Defender,11,2,4.1,0,0,40,4,21.3,17.61,0,0,49,39,0,Normal
Pablo Dragún,21,Man Utd,ARG,Defender,12,7,8.5,1,0,70,97,60.17,52.08,7,15,66,52,0,Good
Winston Reid,31,West Ham,NZL,Defender,30,0,6.2,0,0,418,2,33.99,22.06,4,10,128,115,0,Good
Arkadiusz Milik,26,Brighton,POL,Striker,25,2,6.8,11,0,43,72,39.91,28.95,36,66,45,17,0,Good
Patrick Kudimbana,20,Getafe,FRA,Midfielder,26,2,5.2,5,0,24,4,19.37,8.81,23,44,4,0,0,Bad
Ramiro Guerra,22,Villarreal,URU,Defender,5,0,5.1,0,0,1,0,32.64,27.69,0,0,11,8,0,Bad
Nestor Salinas,27,Granada,ESP,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Fabián Noguera,26,Málaga,ARG,Defender,31,1,4.2,3,0,91,2,20.06,16.06,7,20,151,122,0,Bad
Mame Diouf,32,Málaga,SEN,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Hamza Choudhury,22,West Ham,ENG,Defender,2,0,7.8,0,0,19,1,45.94,33.99,1,2,12,10,0,-
Abdou Diallo,23,Man City,FRA,Defender,4,0,8.3,1,0,11,8,72.59,55.19,1,4,5,3,0,-
Dejan Drazic,24,R. Betis,SRB,Midfielder,24,0,4.2,3,0,43,9,26.48,15.3,7,22,55,29,0,Bad
Mariano,33,Sevilla,BRA,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Leandro Castán,33,Levante,BRA,Defender,9,0,4.5,0,0,24,2,21.03,16.79,1,3,39,35,0,Bad
Harry Maguire,26,Stoke,ENG,Defender,16,0,6.1,0,0,159,0,32.2,20.08,1,2,57,47,0,Good
Luis Hernández,30,R. Betis,ESP,Defender,20,6,5.0,0,0,61,15,27.25,19.87,1,6,69,52,0,Normal
Anthony Martial,24,Man Utd,FRA,Midfielder,36,4,6.9,35,0,17,148,26.89,21.3,70,137,54,26,0,Good
Antonio Adán,32,Sunderland,ESP,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Thomas Delaney,28,Brighton,DEN,Midfielder,32,0,7.8,2,0,215,37,54.11,43.76,5,19,213,171,0,Normal
Tomás Pina,32,Granada,ESP,Defender,30,4,5.5,1,0,63,21,29.9,23.56,6,22,137,80,0,Bad
Ivan Cavaleiro,26,Tottenham,POR,Midfielder,15,1,8.5,1,0,16,39,41.79,31.18,6,18,30,15,0,Good
Wesley Thompson,20,Crystal Palace,ENG,Striker,1,0,0,0,0,1,0,0,0,1,1,0,0,0,-
Juan Fernando Quintero,27,West Ham,COL,Midfielder,23,1,8.2,2,0,52,65,65.53,47.09,9,15,51,28,0,Good
Massimo Bruno,26,West Ham,BEL,Midfielder,28,2,8.3,1,0,50,73,51.28,36.2,6,14,76,44,0,Good
Dani García,29,Brighton,ESP,Midfielder,20,3,7.9,0,0,56,23,55.49,43.91,2,7,44,33,0,Normal
Lautaro Rinaldi,26,R. Sociedad,ARG,Striker,29,1,5.3,9,0,22,11,25.21,17.79,44,91,30,11,0,Normal
Erik Morán,28,Getafe,ESP,Midfielder,25,3,4.5,0,0,72,14,43.21,37.35,0,2,101,71,0,Normal
Nicolás Otamendi,32,Man City,ARG,Defender,32,1,6.3,1,0,351,6,47.32,36.73,6,10,111,97,0,Good
Jetro Willems,25,R. Madrid,NED,Defender,29,3,5.9,1,0,106,47,40.55,29.07,1,5,120,93,0,Normal
Pedro,32,Celta,ESP,Midfielder,37,4,5.1,9,0,71,16,24.88,14.63,23,63,38,20,0,Normal
Joshua Onomah,22,Tottenham,ENG,Midfielder,32,5,8.1,0,0,105,101,73.24,55.95,7,20,98,73,0,Good
Benjamin Mendy,25,Chelsea,FRA,Defender,15,0,7.6,0,0,139,25,53.48,39.13,0,2,112,92,0,Good
Moussa Dembélé,23,West Ham,FRA,Striker,24,3,6.9,12,0,25,64,34.32,24.76,41,77,42,16,0,Good
Stanimir Kirilov,19,Getafe,BUL,Defender,19,0,3.9,0,0,52,1,23.01,18.71,0,0,91,72,0,Bad
Néstor,27,Aston Villa,ESP,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Joaquín Arzura,26,R. Sociedad,ARG,Midfielder,13,0,5.7,1,0,19,4,38.04,30.19,2,11,55,37,0,Normal
Riyad Mahrez,29,Leicester,ALG,Midfielder,31,7,8.4,11,0,58,123,46.56,32.54,30,67,93,55,0,Good
Jack Wilshere,28,Sunderland,ENG,Midfielder,30,2,8.3,0,0,122,69,50.49,36.93,5,21,150,117,0,Good
Joel Campbell,27,Stoke,CRC,Midfielder,18,1,8.3,2,0,32,27,39.68,28.58,6,14,31,19,0,Normal
Rubén Pardo,27,Málaga,ESP,Midfielder,28,5,4.6,0,0,23,9,45.08,36.79,1,4,68,42,0,Normal
Balão,20,Barnsley,BRA,Defender,6,2,4.3,0,0,18,2,24.33,16.5,1,2,29,23,0,Bad
Oussama Tannane,25,Brighton,MAR,Midfielder,26,3,6.7,6,0,16,63,33.16,23.23,27,54,28,9,0,Good
Alejandro Pozo,21,Sevilla,ESP,Midfielder,11,0,4.8,1,0,6,0,25.93,14.12,2,7,12,7,0,Bad
David Hinojosa,24,R. Betis,ESP,Midfielder,1,0,4.4,0,0,0,2,29.59,18.49,0,0,4,3,0,-
Jordan Pickford,25,Crystal Palace,ENG,Goalkeeper,31,0,2.9,0,37,0,0,30.45,22.58,0,0,0,0,10,Normal
Ryan Gauld,24,FC Barcelona,SCO,Midfielder,15,3,4.8,2,0,21,6,47.62,32.21,5,16,24,15,0,Normal
Toni Martínez,22,Valencia,ESP,Striker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Ángel Trujillo,32,R. Betis,ESP,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
José Antonio González,24,Córdoba,ESP,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Isco,27,Sevilla,ESP,Midfielder,31,5,4.2,6,0,21,12,46.78,29.32,19,46,36,18,0,Normal
Daryl Janmaat,30,Newcastle,NED,Defender,30,5,7.8,0,0,186,76,51.94,39.77,1,4,182,153,0,Good
Javi Martínez,31,Man City,ESP,Defender,32,1,7.4,2,0,210,34,51.39,42.32,8,15,145,125,0,Good
Francisco Bravo,20,Elche,ESP,Midfielder,25,5,5.4,0,0,64,17,42.71,34.29,2,9,110,66,0,Normal
Jack Harper,24,Brighton,SCO,Midfielder,27,4,8.2,5,0,76,67,39.84,27.01,14,25,77,43,0,Good
Jorge Meré,22,Chelsea,ESP,Defender,8,1,6.0,0,0,66,2,43.3,33.5,1,3,20,18,0,Good
Rubén García,26,Levante,ESP,Midfielder,29,2,4.4,8,0,23,12,24.25,13.72,17,33,33,11,0,Normal
Neymar,28,FC Barcelona,BRA,Midfielder,37,14,4.9,10,0,66,53,55.14,34.5,37,88,36,19,0,Normal
Robert Costa,25,Córdoba,ESP,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Augusto Echeverría,21,Elche,ARG,Defender,30,2,5.5,1,0,61,8,23.01,17,3,16,109,78,0,Bad
Nando,25,Valencia,ESP,Midfielder,8,3,4.5,2,0,8,8,26.22,15.49,4,12,6,6,0,Normal
Daniel Amartey,25,Leicester,GHA,Defender,17,0,7.1,2,0,90,10,53.53,43.89,3,9,44,38,0,Good
Petr Cech,37,Arsenal,CZE,Goalkeeper,1,0,2.3,0,1,0,0,19,9,0,0,0,0,0,-
Valon Berisha,27,Southampton,NOR,Midfielder,23,3,8.3,1,0,43,75,75.6,58.56,13,44,64,46,0,Good
Eric Dier,26,Tottenham,ENG,Defender,29,1,7.2,1,0,232,36,51.89,39.15,2,3,149,121,0,Good
Fran Rico,32,Granada,ESP,Midfielder,20,3,4.7,0,0,27,7,33.7,27.36,1,5,65,36,0,Normal
Alejandro Rodríguez,26,Albacete,ESP,Midfielder,26,0,4.3,0,0,24,7,28.35,21.72,0,3,83,48,0,Normal
Álvaro Morata,27,R. Madrid,ESP,Striker,28,5,5.0,13,0,26,12,34.36,20.29,38,76,29,13,0,Good
Dimitris Giannoulis,24,Brentford,GRE,Defender,8,0,8.2,0,0,34,11,39.39,28.16,3,5,25,16,0,Normal
Ross Barkley,26,Everton,ENG,Midfielder,28,8,7.2,4,0,60,60,55.78,40.61,13,20,64,39,0,Good
Sead Kolasinac,26,West Ham,BIH,Defender,27,0,7.5,0,0,278,41,46.42,31.93,2,5,164,132,0,Good
Dele Alli,23,Tottenham,ENG,Midfielder,35,4,7.7,1,0,278,108,54.92,44.08,18,34,203,159,0,Good
Khouma Babacar,26,Chelsea,SEN,Midfielder,21,6,7.2,5,0,25,47,32.9,22.36,33,71,19,9,0,Good
Ayoze Pérez,26,Atlético,ESP,Midfielder,39,9,5.6,19,0,36,35,29.9,18.7,62,119,18,9,0,Normal
Lucas Digne,26,Everton,FRA,Defender,29,1,7.5,0,0,262,38,46.56,33.69,0,5,208,163,0,Good
Mateo Musacchio,29,Villarreal,ARG,Defender,25,2,4.3,0,0,121,5,26.4,23.04,0,4,144,124,0,Good
Dimitri Payet,32,West Ham,FRA,Midfielder,27,7,8.0,4,0,38,73,47.68,34.56,6,18,73,40,0,Good
Adrián Ortolà,26,R. Betis,ESP,Goalkeeper,28,0,1.9,0,49,0,0,20.25,11.07,0,0,0,0,5,Bad
Churre,30,Albacete,ESP,Defender,28,1,5.1,1,0,99,3,19.36,14.64,1,8,141,116,0,Normal
Abner,23,Granada,BRA,Defender,2,0,4.4,0,0,4,1,25.2,13.8,0,0,6,4,0,-
Ludovic Soulard,21,Getafe,FRA,Midfielder,20,0,4.3,1,0,11,3,35.51,26.77,2,3,29,19,0,Bad
Pedro Jose Muñoz,20,Sevilla,ESP,Defender,4,0,5.3,0,0,2,0,20.1,10.51,0,2,6,6,0,-
Miguel Ángel Martín,20,Granada,ESP,Striker,18,1,4.3,3,0,18,2,22.75,14.57,15,34,10,3,0,Bad
José Ángel,30,Deportivo,ESP,Defender,15,1,5.0,0,0,22,5,28.91,17.47,0,1,50,39,0,Bad
Marcos Figueroa,30,Córdoba,ARG,Striker,2,0,4.9,0,0,2,0,24.81,15.58,1,2,2,1,0,-
Romelu Lukaku,26,Arsenal,BEL,Striker,23,2,6.9,8,0,18,44,22.91,16.81,24,52,26,6,0,Good
Jagoba Martín,19,West Ham,ESP,Midfielder,6,0,7.0,1,0,6,8,39.4,30,2,2,13,10,0,Normal
Alex Oxlade-Chamberlain,26,Arsenal,ENG,Midfielder,34,1,8.3,3,0,130,151,52.92,43.04,17,33,110,65,0,Good
Seamus Coleman,31,Everton,IRL,Defender,26,4,8.0,0,0,235,51,46.9,33.31,2,5,172,133,0,Good
Kasper Schmeichel,33,Leicester,DEN,Goalkeeper,31,0,3.0,0,37,4,1,33.29,26.58,0,0,0,0,6,Bad
Sergi Enrich,30,R. Betis,ESP,Midfielder,18,0,5.1,6,0,9,1,24.38,17.05,15,41,6,3,0,Bad
Bruno,29,R. Betis,ESP,Defender,25,2,4.8,1,0,104,3,21.69,16.36,1,9,106,85,0,Good
Mattia De Sciglio,27,Man City,ITA,Defender,26,3,7.6,0,0,180,46,49.41,39.52,3,5,131,95,0,Good
Josuha Guilavogui,29,Watford,FRA,Midfielder,23,0,7.5,0,0,206,27,51.68,39.07,0,6,157,118,0,Normal
Joe Allen,29,Liverpool,WAL,Midfielder,17,2,7.9,1,0,77,44,63.13,49.94,6,18,67,50,0,Good
Pape Diop,33,Espanyol,SEN,Defender,26,4,5.8,1,0,39,14,32.72,26.56,6,11,105,64,0,Bad
Jaime,24,Middlesbrough,ESP,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Toby Alderweireld,31,Tottenham,BEL,Defender,33,0,6.0,1,0,350,11,43.57,34.9,3,12,154,132,0,Good
Omar,23,R. Betis,ESP,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
James Rodríguez,28,R. Madrid,COL,Midfielder,26,9,5.7,9,0,42,28,54.08,35.35,31,78,24,12,0,Normal
Jonny Evans,32,Watford,NIR,Defender,4,0,6.3,0,0,46,1,35.5,25.5,0,1,19,16,0,-
Yannick Gerhardt,25,West Ham,GER,Midfielder,29,2,8.1,2,0,189,70,58.64,46.06,8,28,201,137,0,Good
Daley Sinkgraven,24,Newcastle,NED,Midfielder,32,0,8.0,2,0,79,84,62,49.98,13,34,85,56,0,Good
Mats Møller Dæhli,25,Aston Villa,NOR,Midfielder,29,8,8.0,5,0,70,131,56.06,40.16,13,28,69,48,0,Good
Christian Bravo,26,Granada,CHI,Midfielder,5,0,4.4,1,0,3,0,22.89,14.35,2,3,2,1,0,Bad
Victor Lindelöf,25,Liverpool,SWE,Defender,17,1,6.6,1,0,183,9,43.19,28.44,1,5,76,71,0,Good
Karim Benzema,32,R. Madrid,FRA,Midfielder,32,8,4.9,10,0,23,36,35.27,21.42,32,69,27,13,0,Normal
Renato Sanches,22,Man Utd,POR,Midfielder,23,7,7.9,5,0,56,145,59.92,50.2,13,32,74,49,0,Good
Luca Marrone,29,Granada,ITA,Defender,13,1,4.6,0,0,25,3,26.99,22.11,0,0,41,28,0,Bad
Sergio Valero,21,Getafe,ESP,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Rob Schoofs,25,Levante,BEL,Midfielder,23,4,5.5,3,0,18,8,31.04,19.55,8,22,28,16,0,Normal
Felipe Caicedo,31,Espanyol,ECU,Midfielder,28,2,5.0,13,0,28,7,23,13.21,40,79,4,1,0,Bad
Charis Mavrias,26,Córdoba,GRE,Midfielder,16,1,4.5,1,0,8,2,24.27,16.36,3,8,17,8,0,Bad
Felix Passlack,21,Man Utd,GER,Defender,34,21,8.3,1,0,189,247,58.38,49.25,12,26,228,168,0,Good
Louis Schaub,25,Liverpool,AUT,Midfielder,4,0,8.2,1,0,7,11,47.43,34.05,2,5,13,7,0,-
Sam Byram,26,Liverpool,ENG,Defender,13,3,8.0,0,0,76,45,45.92,36.31,0,3,47,34,0,Good
Kelechi Iheanacho,23,Man City,NGA,Striker,6,3,7.6,2,0,2,24,47.62,37.52,18,46,17,8,0,Good
Laurent Koscielny,34,Arsenal,FRA,Defender,14,0,5.8,0,0,71,0,31.56,22.56,1,5,32,28,0,Good
Jaume Domènech,29,Celta,ESP,Goalkeeper,10,0,1.5,0,9,0,0,15.7,6.1,0,0,0,0,4,Normal
Luka Jovic,22,Valencia,SRB,Striker,12,0,4.0,2,0,7,0,25.05,13.88,19,32,18,7,0,Normal
Nikola Lolic,20,Rayo,SRB,Striker,5,0,5.2,2,0,6,0,23.07,16.73,9,17,6,2,0,Normal
Javi Manquillo,25,Atlético,ESP,Defender,18,2,5.5,0,0,63,6,24.39,17.78,2,8,67,54,0,Normal
Raffidine Abdullah,26,Valencia,FRA,Midfielder,38,8,5.7,3,0,77,25,37.25,30.14,14,33,140,90,0,Normal
Dorin Rotariu,24,Southampton,ROU,Midfielder,27,3,6.7,8,0,20,35,28.82,21.02,28,58,33,9,0,Normal
Héctor Roig,19,FC Barcelona,ESP,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
William Carvalho,27,Man City,POR,Defender,30,0,7.4,1,0,188,20,47.31,39.76,2,4,123,105,0,Good
Juan Pablo Mina,21,Sassuolo,COL,Defender,4,0,4.8,0,0,9,0,18.37,14.01,0,0,19,16,0,-
Artem Fedetskyi,34,Espanyol,UKR,Defender,26,1,5.8,0,0,64,4,24.28,18.18,4,22,122,93,0,Bad
Imanol Agirretxe,33,R. Sociedad,ESP,Midfielder,29,1,5.0,10,0,30,9,38.81,24.91,21,59,25,9,0,Bad
Hélder Almeida,21,Espanyol,POR,Midfielder,23,2,5.0,1,0,26,9,41.87,26.82,9,23,43,26,0,Normal
Eneko Capilla,24,R. Sociedad,ESP,Midfielder,1,0,0,0,0,1,0,0,0,0,1,2,1,0,-
Luuk de Jong,29,Everton,NED,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Pablo Hernández,33,Celta,CHI,Midfielder,4,0,5.0,0,0,3,0,36.3,23.37,1,2,10,7,0,-
José Carlos,20,Athletic,ESP,Defender,10,0,4.2,0,0,25,0,23.51,18.77,1,3,37,34,0,Bad
Markos Vellidis,32,Rayo,GRE,Goalkeeper,28,0,1.5,0,52,0,0,17.16,7.23,0,0,1,1,1,Bad
Vicente Guaita,33,Getafe,ESP,Goalkeeper,28,0,1.7,0,44,0,0,17.57,8.11,0,0,0,0,4,Bad
Kevin-Prince Boateng,32,R. Sociedad,GHA,Defender,27,0,4.7,1,0,32,1,25.81,16.82,7,14,69,53,0,Bad
Héctor Rodas,31,Córdoba,ESP,Defender,27,2,4.5,0,0,72,2,20.21,16.04,0,7,135,107,0,Bad
Grégory Hernández,19,R. Valladolid,ESP,Striker,25,0,4.4,5,0,18,1,24.69,15.55,18,41,32,14,0,Bad
Álex Grimaldo,24,Arsenal,ESP,Defender,31,10,8.7,3,0,149,109,63.54,47.35,8,18,247,192,0,Good
Jonny,26,Chelsea,ESP,Defender,33,4,7.9,2,0,300,40,45.94,32.97,6,13,253,202,0,Good
Bruno Zuculini,26,Aston Villa,ARG,Midfielder,31,1,7.5,0,0,147,43,45.8,36.49,5,16,129,103,0,Normal
Asier Villalibre,22,Athletic,ESP,Striker,12,0,5.1,3,0,4,0,24.3,12.6,9,18,9,4,0,Normal
John Obi Mikel,32,Newcastle,NGA,Defender,22,0,7.5,0,0,88,18,45.48,37.71,3,7,78,61,0,Normal
Oscar Krusnell,21,Sunderland,SWE,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Kepa Arrizabalaga,25,Athletic,ESP,Goalkeeper,28,0,1.3,0,37,0,2,19.65,10.58,0,0,5,3,7,Normal
Nathaniel Clyne,28,Liverpool,ENG,Defender,24,0,8.1,1,0,234,86,54.67,40.31,4,8,176,151,0,Good
Pierre-Michel Lasogga,28,Stoke,GER,Striker,4,0,7.4,0,0,4,8,35.22,26.9,0,2,5,2,0,-
Philippe Coutinho,27,Tottenham,BRA,Midfielder,36,7,8.2,4,0,60,163,51.86,37.51,41,104,98,64,0,Good
Dani Parejo,30,Valencia,ESP,Midfielder,36,2,5.1,3,0,50,7,53.1,37.83,13,24,94,61,0,Bad
Jonás Ramalho,26,Athletic,ANG,Defender,15,0,5.1,0,0,44,1,24.97,19.4,0,6,62,49,0,Bad
Danijel Subasic,35,Everton,CRO,Goalkeeper,13,0,2.6,0,16,0,0,23.4,10.13,0,0,2,2,3,Normal
Diego Rubio,26,Deportivo,CHI,Striker,10,0,4.3,3,0,3,0,23.45,12.79,9,16,17,7,0,Normal
Vaclav Cerny,22,Atlético,CZE,Midfielder,25,3,4.6,8,0,16,24,28.09,16.36,25,51,18,7,0,Normal
Eliaquim Mangala,29,Newcastle,FRA,Defender,12,0,6.2,0,0,107,3,43.77,32.61,1,4,39,33,0,Good
Valeriy Luchkevych,24,Man City,UKR,Defender,5,1,8.1,0,0,37,14,51.49,41.24,2,3,21,20,0,Good
Borja Iglesias,27,Albacete,ESP,Striker,28,1,5.0,8,0,38,6,22,15.9,27,47,10,3,0,Normal
Zouhair Feddal,31,Levante,MAR,Defender,15,2,4.8,0,0,54,2,24.52,19.31,1,8,56,44,0,Normal
Thomas Basila,20,Tottenham,FRA,Defender,14,0,6.1,1,0,190,1,46.01,34.47,2,4,69,55,0,Good
Matías,23,Levante,ESP,Striker,2,0,3.6,0,0,0,0,27.19,15,1,4,1,0,0,-
Andoni Ugarte,24,R. Sociedad,ESP,Defender,14,0,3.8,0,0,34,0,20.97,16.11,0,5,46,36,0,Bad
Fran Villalba,21,Valencia,ESP,Midfielder,19,3,4.6,2,0,23,12,48.38,31.09,8,24,26,16,0,Normal
Andreu Fontàs,30,FC Barcelona,ESP,Defender,32,1,4.4,0,0,144,5,35.34,31.15,2,6,157,135,0,Good
Ben Davies,26,Sunderland,WAL,Defender,31,2,7.6,0,0,271,50,47.37,32.78,0,6,250,193,0,Good
Stéphane Sparagna,25,Stoke,FRA,Defender,20,0,6.2,1,0,233,3,28.2,17.74,2,4,51,47,0,Good
Marcos Rojo,29,Levante,ARG,Defender,23,0,4.5,0,0,90,0,23.74,19.71,0,7,109,90,0,Normal
Abdelhak Nouri,22,Celta,NED,Midfielder,36,8,4.7,6,0,22,26,52.8,33.75,19,43,45,28,0,Normal
Juan Cuadrado,31,Chelsea,COL,Midfielder,26,6,8.4,3,0,35,52,36.46,27.1,23,38,71,47,0,Normal
Diego Llorente,26,Atlético,ESP,Defender,8,1,4.6,1,0,16,2,23.16,18.83,1,3,29,25,0,Bad
Nabil Bentaleb,25,Southampton,ALG,Midfielder,8,2,8.3,1,0,35,20,65.81,56.13,6,14,31,19,0,Good
Paco Alcácer,26,Man City,ESP,Striker,6,0,7.5,1,0,1,13,23.36,18.38,4,5,2,1,0,Good
David Novais,20,Southampton,POR,Midfielder,32,1,7.8,4,0,44,59,35.92,25.17,11,32,39,29,0,Normal
Fabio Daprelà,29,Watford,SUI,Defender,12,0,7.3,0,0,57,11,45,30.17,1,3,34,24,0,Good
James Wilson,24,Newcastle,ENG,Midfielder,20,0,7.6,7,0,6,23,26.18,20.02,21,38,17,4,0,Normal
Diego Caballo,26,C.E. Sabadell,ESP,Defender,26,4,4.2,0,0,45,8,30.23,22.01,0,3,115,87,0,Bad
Anwar El Ghazi,24,Brentford,NED,Midfielder,6,1,8.0,0,0,23,12,44,30.67,3,10,18,9,0,Normal
Luka Gucek,21,Getafe,SVN,Defender,23,5,4.7,0,0,74,8,24.55,18.51,1,14,100,78,0,Normal
Pablo Insua,26,Deportivo,ESP,Defender,7,0,4.7,0,0,29,1,19.39,15.3,0,1,30,23,0,Good
Manu Cordero,23,Sevilla,ESP,Midfielder,6,1,4.3,0,0,5,3,36,23.5,1,3,8,5,0,Normal
Saúl,25,Man Utd,ESP,Defender,28,3,7.9,6,0,86,145,55.91,47.33,18,47,74,54,0,Normal
Konrad Laimer,22,Stoke,AUT,Midfielder,25,0,8.1,0,0,90,34,62.19,49.66,4,13,106,75,0,Normal
Eugene Konoplyanka,30,Sevilla,UKR,Midfielder,28,5,4.5,5,0,17,14,35.33,19.17,19,44,35,17,0,Normal
Jonathas,30,Almería,BRA,Striker,22,0,5.0,4,0,16,2,22,10.31,22,35,8,3,0,Normal
Jorge Juliá,26,Albacete,ESP,Midfielder,19,0,4.3,0,0,14,0,28.46,21.22,3,14,52,32,0,Bad
Gabriel Corozo,25,Granada,ECU,Defender,15,0,4.9,0,0,9,0,21.88,14.64,1,3,26,19,0,Bad
Moussa Sissoko,30,Newcastle,FRA,Midfielder,33,2,8.2,5,0,104,91,49.41,35.76,25,41,97,66,0,Good
Shkodran Mustafi,27,Man Utd,GER,Defender,22,1,5.8,2,0,278,7,40.14,32.3,8,27,74,67,0,Good
Marco Reus,30,R. Madrid,GER,Midfielder,30,6,5.8,10,0,60,58,30.75,19.76,25,75,19,11,0,Normal
Jeff Reine-Adelaide,22,Arsenal,FRA,Midfielder,17,1,7.3,6,0,11,28,35.03,28.42,12,29,19,13,0,Normal
Håvard Nielsen,26,Aston Villa,NOR,Midfielder,32,4,6.9,16,0,28,82,29.64,22.6,45,96,39,16,0,Good
Mattia Destro,28,Leicester,ITA,Striker,7,0,7.5,2,0,3,8,27.34,18.83,6,12,8,2,0,Normal
Lazar Markovic,26,Liverpool,SRB,Defender,22,5,8.7,2,0,39,40,39.47,27.8,10,23,53,29,0,Bad
Andreas Gianniotis,27,Brighton,GRE,Goalkeeper,2,0,2.5,0,0,0,1,20.5,10,0,0,0,0,2,-
Fayçal Fajr,31,Elche,MAR,Midfielder,29,2,4.8,2,0,28,35,36.15,22.28,12,33,55,29,0,Normal
Patrick Banggaard,25,Brentford,DEN,Defender,22,0,6.3,0,0,142,1,37.01,19.74,0,4,30,26,0,Good
Crístofer Martín,20,Recreativo,ESP,Defender,21,0,2.5,3,0,21,7,22.29,15.36,6,14,70,47,0,Bad
Nono,26,Elche,ESP,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Rafa Soares,24,Everton,POR,Defender,17,3,7.0,1,0,106,26,45.16,32.02,7,12,96,85,0,Good
Carlos Alves,22,R. Betis,POR,Goalkeeper,12,0,1.8,0,15,0,0,17.17,7.5,0,0,0,0,3,Normal
Juan Fuentes,30,Alavés,ESP,Defender,22,1,5.0,0,0,53,2,24.42,17.51,1,5,108,85,0,Bad
Trevoh Chalobah,20,Chelsea,ENG,Defender,24,2,7.4,0,0,233,20,50.25,32.92,2,11,88,76,0,Good
Reece Burke,23,West Ham,ENG,Defender,32,0,6.3,0,0,498,6,39.56,24.07,1,9,122,112,0,Good
Fernando Pacheco,27,Swansea,ESP,Goalkeeper,7,0,3.0,0,10,0,0,36.82,25.91,0,0,1,1,1,Bad
Milan Badelj,31,Middlesbrough,CRO,Defender,6,1,8.0,0,0,41,4,49.58,39,1,4,32,26,0,Good
José María Amo,21,Sevilla,ESP,Defender,10,0,4.5,0,0,19,2,23.54,18.92,0,0,40,33,0,Bad
Salomón Rondón,30,Stoke,VEN,Midfielder,16,3,7.2,1,0,16,26,35.18,24.14,5,18,23,6,0,Normal
Nikola Vlasic,22,R. Madrid,CRO,Midfielder,23,2,5.5,9,0,25,32,33.64,21.93,23,40,14,12,0,Normal
Gérson,22,Man City,BRA,Midfielder,29,4,8.3,6,0,100,119,61.49,46.86,15,27,123,73,0,Good
Kuki,21,Málaga,ESP,Midfielder,27,1,4.3,9,0,36,6,24.37,15.63,35,64,19,8,0,Bad
Franck Tabanou,31,Brighton,FRA,Defender,12,1,8.8,0,0,18,22,55.21,39.58,1,4,13,9,0,Bad
Deco,24,Málaga,ESP,Midfielder,11,0,4.3,0,0,6,0,31.49,25.63,1,7,20,12,0,Bad
Svetislav Mancic,20,Atlético,SRB,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Mohamed Elneny,27,R. Sociedad,EGY,Midfielder,36,4,6.4,3,0,102,38,39.93,32.53,9,28,168,110,0,Normal
Rúben Neves,22,Man Utd,POR,Midfielder,11,0,7.4,1,0,70,10,53.55,48.55,2,4,47,42,0,Normal
Curro,24,Sevilla,ESP,Midfielder,6,1,4.1,1,0,3,2,34.62,22.68,3,8,17,11,0,Normal
